thresh_c,kernel_size,size_thresh,epsilon,Avg Loss,Success_Rate,Successful,Good_Detections,Good_Rate
1,3,5000,0.01,250.64577,0.99,396,123,0.3075
1,3,5000,0.02,297.00354,1,400,66,0.165
1,3,5000,0.03,250.5386,0.9975,399,121,0.3025
1,3,5000,0.04,235.56978,0.9975,399,144,0.36
1,3,5000,0.05,200.90526,1,400,179,0.4475
1,3,5000,0.06,158.44753,0.9925,397,226,0.565
1,3,10000,0.01,250.64574,0.99,396,123,0.3075
1,3,10000,0.02,296.63992,0.9975,399,66,0.165
1,3,10000,0.03,250.53865,0.9975,399,121,0.3025
1,3,10000,0.04,235.56982,0.9975,399,144,0.36
1,3,10000,0.05,201.2472,0.9925,397,179,0.4475
1,3,10000,0.06,158.34933,0.9875,395,226,0.565
1,3,15000,0.01,250.64574,0.99,396,123,0.3075
1,3,15000,0.02,296.73645,0.9925,397,66,0.165
1,3,15000,0.03,250.68204,0.995,398,121,0.3025
1,3,15000,0.04,235.67563,0.995,398,144,0.36
1,3,15000,0.05,201.26686,0.99,396,179,0.4475
1,3,15000,0.06,158.28201,0.9825,393,226,0.565
1,3,20000,0.01,250.64575,0.99,396,123,0.3075
1,3,20000,0.02,296.73645,0.9925,397,66,0.165
1,3,20000,0.03,250.68204,0.995,398,121,0.3025
1,3,20000,0.04,235.67563,0.995,398,144,0.36
1,3,20000,0.05,201.26686,0.99,396,179,0.4475
1,3,20000,0.06,158.28203,0.9825,393,226,0.565
1,5,5000,0.01,279.46136,0.89,356,92,0.23
1,5,5000,0.02,372.59766,1,400,1,0.0025
1,5,5000,0.03,369.29337,0.99,396,3,0.0075
1,5,5000,0.04,349.64224,0.9925,397,29,0.0725
1,5,5000,0.05,346.2719,0.9675,387,29,0.0725
1,5,5000,0.06,344.6828,0.97,388,29,0.0725
1,5,10000,0.01,280.09866,0.885,354,92,0.23
1,5,10000,0.02,372.59763,1,400,1,0.0025
1,5,10000,0.03,368.40384,0.9875,395,3,0.0075
1,5,10000,0.04,347.49432,0.97,388,29,0.0725
1,5,10000,0.05,346.66895,0.96,384,29,0.0725
1,5,10000,0.06,345.39777,0.9525,381,29,0.0725
1,5,15000,0.01,280.09863,0.885,354,92,0.23
1,5,15000,0.02,372.59766,1,400,1,0.0025
1,5,15000,0.03,368.99612,0.98,392,3,0.0075
1,5,15000,0.04,346.92422,0.96,384,29,0.0725
1,5,15000,0.05,346.6663,0.9575,383,29,0.0725
1,5,15000,0.06,345.3917,0.95,380,29,0.0725
1,5,20000,0.01,280.09863,0.885,354,92,0.23
1,5,20000,0.02,372.59763,1,400,1,0.0025
1,5,20000,0.03,369.35468,0.975,390,3,0.0075
1,5,20000,0.04,346.18735,0.95,380,29,0.0725
1,5,20000,0.05,345.9247,0.9475,379,29,0.0725
1,5,20000,0.06,345.9247,0.9475,379,29,0.0725
1,7,5000,0.01,347.29462,0.8225,329,25,0.0625
1,7,5000,0.02,374.49158,1,400,0,0
1,7,5000,0.03,374.49158,1,400,0,0
1,7,5000,0.04,374.49158,1,400,0,0
1,7,5000,0.05,374.49158,1,400,0,0
1,7,5000,0.06,374.49158,1,400,0,0
1,7,10000,0.01,348.12122,0.8175,327,25,0.0625
1,7,10000,0.02,374.4916,1,400,0,0
1,7,10000,0.03,374.49158,1,400,0,0
1,7,10000,0.04,374.49158,1,400,0,0
1,7,10000,0.05,374.4916,1,400,0,0
1,7,10000,0.06,374.49158,1,400,0,0
1,7,15000,0.01,348.00516,0.815,326,25,0.0625
1,7,15000,0.02,374.49158,1,400,0,0
1,7,15000,0.03,374.4916,1,400,0,0
1,7,15000,0.04,374.49158,1,400,0,0
1,7,15000,0.05,374.4916,1,400,0,0
1,7,15000,0.06,374.49158,1,400,0,0
1,7,20000,0.01,348.43628,0.8125,325,25,0.0625
1,7,20000,0.02,374.49158,1,400,0,0
1,7,20000,0.03,374.4916,1,400,0,0
1,7,20000,0.04,374.49158,1,400,0,0
1,7,20000,0.05,374.49158,1,400,0,0
1,7,20000,0.06,374.49158,1,400,0,0
1,9,5000,0.01,362.72733,0.8075,323,7,0.0175
1,9,5000,0.02,374.89993,1,400,0,0
1,9,5000,0.03,374.89993,1,400,0,0
1,9,5000,0.04,374.89993,1,400,0,0
1,9,5000,0.05,374.89996,1,400,0,0
1,9,5000,0.06,374.89993,1,400,0,0
1,9,10000,0.01,365.83832,0.78,312,7,0.0175
1,9,10000,0.02,374.89993,1,400,0,0
1,9,10000,0.03,374.89993,1,400,0,0
1,9,10000,0.04,374.89993,1,400,0,0
1,9,10000,0.05,374.89993,1,400,0,0
1,9,10000,0.06,374.89993,1,400,0,0
1,9,15000,0.01,367.34448,0.7725,309,7,0.0175
1,9,15000,0.02,374.89993,1,400,0,0
1,9,15000,0.03,374.89993,1,400,0,0
1,9,15000,0.04,374.89993,1,400,0,0
1,9,15000,0.05,374.89993,1,400,0,0
1,9,15000,0.06,374.89996,1,400,0,0
1,9,20000,0.01,367.78964,0.77,308,7,0.0175
1,9,20000,0.02,374.89993,1,400,0,0
1,9,20000,0.03,374.89993,1,400,0,0
1,9,20000,0.04,374.89996,1,400,0,0
1,9,20000,0.05,374.89987,1,400,0,0
1,9,20000,0.06,374.89996,1,400,0,0
2,3,5000,0.01,121.72633,0.97,388,232,0.58
2,3,5000,0.02,124.257324,0.9875,395,201,0.5025
2,3,5000,0.03,120.0902,0.99,396,211,0.5275
2,3,5000,0.04,117.53918,0.9975,399,220,0.55
2,3,5000,0.05,117.52475,0.9975,399,220,0.55
2,3,5000,0.06,69.39827,0.995,398,270,0.675
2,3,10000,0.01,121.72633,0.97,388,232,0.58
2,3,10000,0.02,123.7156,0.985,394,201,0.5025
2,3,10000,0.03,120.09019,0.99,396,211,0.5275
2,3,10000,0.04,117.53918,0.9975,399,220,0.55
2,3,10000,0.05,117.21932,0.995,398,220,0.55
2,3,10000,0.06,69.39827,0.995,398,270,0.675
2,3,15000,0.01,121.72633,0.97,388,232,0.58
2,3,15000,0.02,123.13573,0.9825,393,201,0.5025
2,3,15000,0.03,119.420135,0.9875,395,211,0.5275
2,3,15000,0.04,116.86774,0.995,398,220,0.55
2,3,15000,0.05,117.21931,0.995,398,220,0.55
2,3,15000,0.06,69.39826,0.995,398,270,0.675
2,3,20000,0.01,121.098625,0.9675,387,232,0.58
2,3,20000,0.02,122.60185,0.98,392,201,0.5025
2,3,20000,0.03,119.42011,0.9875,395,211,0.5275
2,3,20000,0.04,116.86774,0.995,398,220,0.55
2,3,20000,0.05,117.21932,0.995,398,220,0.55
2,3,20000,0.06,69.39826,0.995,398,270,0.675
2,5,5000,0.01,217.6274,0.9675,387,115,0.2875
2,5,5000,0.02,175.12378,0.9925,397,184,0.46
2,5,5000,0.03,168.91496,0.995,398,178,0.445
2,5,5000,0.04,163.80133,0.9925,397,191,0.4775
2,5,5000,0.05,114.07902,0.9875,395,247,0.6175
2,5,5000,0.06,114.02475,0.9875,395,251,0.6275
2,5,10000,0.01,217.62743,0.9675,387,115,0.2875
2,5,10000,0.02,173.27657,0.9875,395,184,0.46
2,5,10000,0.03,168.64406,0.99,396,178,0.445
2,5,10000,0.04,163.80042,0.9925,397,191,0.4775
2,5,10000,0.05,114.22528,0.985,394,247,0.6175
2,5,10000,0.06,114.17086,0.985,394,251,0.6275
2,5,15000,0.01,217.62744,0.9675,387,115,0.2875
2,5,15000,0.02,171.73991,0.9825,393,184,0.46
2,5,15000,0.03,168.40385,0.9875,395,178,0.445
2,5,15000,0.04,163.80042,0.9925,397,191,0.4775
2,5,15000,0.05,114.22528,0.985,394,247,0.6175
2,5,15000,0.06,114.17086,0.985,394,251,0.6275
2,5,20000,0.01,217.6274,0.9675,387,115,0.2875
2,5,20000,0.02,171.0285,0.98,392,184,0.46
2,5,20000,0.03,168.40385,0.9875,395,178,0.445
2,5,20000,0.04,162.67937,0.9875,395,191,0.4775
2,5,20000,0.05,114.22528,0.985,394,247,0.6175
2,5,20000,0.06,114.170876,0.985,394,251,0.6275
2,7,5000,0.01,260.40125,0.9375,375,91,0.2275
2,7,5000,0.02,297.96475,0.97,388,33,0.0825
2,7,5000,0.03,301.8932,0.98,392,36,0.09
2,7,5000,0.04,297.42114,0.975,390,50,0.125
2,7,5000,0.05,296.44437,0.9725,389,50,0.125
2,7,5000,0.06,287.023,0.965,386,56,0.14
2,7,10000,0.01,260.86847,0.935,374,91,0.2275
2,7,10000,0.02,298.71017,0.96,384,33,0.0825
2,7,10000,0.03,302.06512,0.9725,389,36,0.09
2,7,10000,0.04,297.88965,0.9675,387,50,0.125
2,7,10000,0.05,296.81717,0.965,386,50,0.125
2,7,10000,0.06,287.60364,0.9575,383,56,0.14
2,7,15000,0.01,260.86844,0.935,374,91,0.2275
2,7,15000,0.02,298.24863,0.9575,383,33,0.0825
2,7,15000,0.03,302.06506,0.9725,389,36,0.09
2,7,15000,0.04,297.88962,0.9675,387,50,0.125
2,7,15000,0.05,297.09454,0.9625,385,50,0.125
2,7,15000,0.06,287.86432,0.955,382,56,0.14
2,7,20000,0.01,260.86847,0.935,374,91,0.2275
2,7,20000,0.02,298.24863,0.9575,383,33,0.0825
2,7,20000,0.03,302.02747,0.9675,387,36,0.09
2,7,20000,0.04,297.58954,0.965,386,50,0.125
2,7,20000,0.05,297.09457,0.9625,385,50,0.125
2,7,20000,0.06,287.8643,0.955,382,56,0.14
2,9,5000,0.01,271.99557,0.8925,357,78,0.195
2,9,5000,0.02,292.0682,0.94,376,48,0.12
2,9,5000,0.03,320.3154,0.9675,387,12,0.03
2,9,5000,0.04,322.4059,0.9725,389,19,0.0475
2,9,5000,0.05,308.12524,0.955,382,35,0.0875
2,9,5000,0.06,306.29498,0.9475,379,39,0.0975
2,9,10000,0.01,271.7573,0.89,356,78,0.195
2,9,10000,0.02,292.05423,0.9225,369,48,0.12
2,9,10000,0.03,320.9336,0.95,380,12,0.03
2,9,10000,0.04,322.093,0.96,384,19,0.0475
2,9,10000,0.05,310.52243,0.9425,377,35,0.0875
2,9,10000,0.06,308.14462,0.935,374,39,0.0975
2,9,15000,0.01,271.75732,0.89,356,78,0.195
2,9,15000,0.02,292.05423,0.9225,369,48,0.12
2,9,15000,0.03,320.93362,0.95,380,12,0.03
2,9,15000,0.04,322.093,0.96,384,19,0.0475
2,9,15000,0.05,310.52243,0.9425,377,35,0.0875
2,9,15000,0.06,307.96857,0.9325,373,39,0.0975
2,9,20000,0.01,271.7573,0.89,356,78,0.195
2,9,20000,0.02,292.05423,0.9225,369,48,0.12
2,9,20000,0.03,321.16867,0.9475,379,12,0.03
2,9,20000,0.04,322.34662,0.9575,383,19,0.0475
2,9,20000,0.05,310.5118,0.9375,375,35,0.0875
2,9,20000,0.06,308.19177,0.93,372,39,0.0975
3,3,5000,0.01,88.223236,0.955,382,272,0.68
3,3,5000,0.02,69.988106,0.9825,393,297,0.7425
3,3,5000,0.03,66.54457,0.985,394,295,0.7375
3,3,5000,0.04,62.517597,0.9725,389,290,0.725
3,3,5000,0.05,16.524002,0.97,388,334,0.835
3,3,5000,0.06,16.84335,0.9675,387,330,0.825
3,3,10000,0.01,88.22325,0.955,382,272,0.68
3,3,10000,0.02,69.98811,0.9825,393,297,0.7425
3,3,10000,0.03,66.54457,0.985,394,295,0.7375
3,3,10000,0.04,61.89588,0.97,388,290,0.725
3,3,10000,0.05,16.524002,0.97,388,334,0.835
3,3,10000,0.06,16.84335,0.9675,387,330,0.825
3,3,15000,0.01,88.22325,0.955,382,272,0.68
3,3,15000,0.02,68.52066,0.9775,391,297,0.7425
3,3,15000,0.03,66.54457,0.985,394,295,0.7375
3,3,15000,0.04,61.895874,0.97,388,290,0.725
3,3,15000,0.05,16.524002,0.97,388,334,0.835
3,3,15000,0.06,16.84335,0.9675,387,330,0.825
3,3,20000,0.01,87.531944,0.9525,381,272,0.68
3,3,20000,0.02,66.34884,0.97,388,297,0.7425
3,3,20000,0.03,63.625988,0.975,390,295,0.7375
3,3,20000,0.04,61.895874,0.97,388,290,0.725
3,3,20000,0.05,16.524002,0.97,388,334,0.835
3,3,20000,0.06,16.84335,0.9675,387,330,0.825
3,5,5000,0.01,118.31115,0.95,380,238,0.595
3,5,5000,0.02,125.63965,0.97,388,175,0.4375
3,5,5000,0.03,128.89188,0.995,398,154,0.385
3,5,5000,0.04,127.58921,0.9975,399,153,0.3825
3,5,5000,0.05,125.98304,0.995,398,175,0.4375
3,5,5000,0.06,124.89142,0.9925,397,192,0.48
3,5,10000,0.01,118.31115,0.95,380,238,0.595
3,5,10000,0.02,125.639656,0.97,388,175,0.4375
3,5,10000,0.03,127.898575,0.99,396,154,0.385
3,5,10000,0.04,127.53491,0.995,398,153,0.3825
3,5,10000,0.05,125.40206,0.9925,397,175,0.4375
3,5,10000,0.06,124.89144,0.9925,397,192,0.48
3,5,15000,0.01,118.31114,0.95,380,238,0.595
3,5,15000,0.02,125.639656,0.97,388,175,0.4375
3,5,15000,0.03,127.89856,0.99,396,154,0.385
3,5,15000,0.04,127.25584,0.9925,397,153,0.3825
3,5,15000,0.05,125.116875,0.99,396,175,0.4375
3,5,15000,0.06,124.60499,0.99,396,192,0.48
3,5,20000,0.01,118.31114,0.95,380,238,0.595
3,5,20000,0.02,124.950386,0.9675,387,175,0.4375
3,5,20000,0.03,127.89856,0.99,396,154,0.385
3,5,20000,0.04,127.25581,0.9925,397,153,0.3825
3,5,20000,0.05,125.116875,0.99,396,175,0.4375
3,5,20000,0.06,123.92705,0.9875,395,192,0.48
3,7,5000,0.01,176.87656,0.9125,365,146,0.365
3,7,5000,0.02,193.1724,0.9475,379,84,0.21
3,7,5000,0.03,134.30203,0.9675,387,173,0.4325
3,7,5000,0.04,138.18454,0.9675,387,164,0.41
3,7,5000,0.05,134.12738,0.97,388,186,0.465
3,7,5000,0.06,136.63797,0.97,388,194,0.485
3,7,10000,0.01,177.05582,0.91,364,146,0.365
3,7,10000,0.02,193.87042,0.94,376,84,0.21
3,7,10000,0.03,135.05267,0.9575,383,173,0.4325
3,7,10000,0.04,136.0129,0.9475,379,164,0.41
3,7,10000,0.05,132.5809,0.945,378,186,0.465
3,7,10000,0.06,129.67345,0.9375,375,194,0.485
3,7,15000,0.01,177.0558,0.91,364,146,0.365
3,7,15000,0.02,193.65085,0.9375,375,84,0.21
3,7,15000,0.03,135.27106,0.95,380,173,0.4325
3,7,15000,0.04,134.79898,0.935,374,164,0.41
3,7,15000,0.05,131.78958,0.94,376,186,0.465
3,7,15000,0.06,129.28165,0.935,374,194,0.485
3,7,20000,0.01,177.05582,0.91,364,146,0.365
3,7,20000,0.02,193.65085,0.9375,375,84,0.21
3,7,20000,0.03,134.57138,0.9475,379,173,0.4325
3,7,20000,0.04,133.28886,0.925,370,164,0.41
3,7,20000,0.05,131.70012,0.935,374,186,0.465
3,7,20000,0.06,129.0253,0.93,372,194,0.485
3,9,5000,0.01,167.05978,0.825,330,155,0.3875
3,9,5000,0.02,252.23524,0.9175,367,69,0.1725
3,9,5000,0.03,219.10355,0.9325,373,106,0.265
3,9,5000,0.04,201.09625,0.9675,387,132,0.33
3,9,5000,0.05,195.43095,0.97,388,138,0.345
3,9,5000,0.06,147.79634,0.945,378,176,0.44
3,9,10000,0.01,166.47542,0.8175,327,155,0.3875
3,9,10000,0.02,253.05495,0.8975,359,69,0.1725
3,9,10000,0.03,218.58516,0.9075,363,106,0.265
3,9,10000,0.04,193.9316,0.925,370,132,0.33
3,9,10000,0.05,183.09084,0.9125,365,138,0.345
3,9,10000,0.06,138.57068,0.8975,359,176,0.44
3,9,15000,0.01,166.47543,0.8175,327,155,0.3875
3,9,15000,0.02,252.76894,0.895,358,69,0.1725
3,9,15000,0.03,214.6837,0.8775,351,106,0.265
3,9,15000,0.04,193.91417,0.9125,365,132,0.33
3,9,15000,0.05,182.96004,0.905,362,138,0.345
3,9,15000,0.06,138.95508,0.885,354,176,0.44
3,9,20000,0.01,166.47543,0.8175,327,155,0.3875
3,9,20000,0.02,252.76894,0.895,358,69,0.1725
3,9,20000,0.03,214.6347,0.875,350,106,0.265
3,9,20000,0.04,193.92105,0.9075,363,132,0.33
3,9,20000,0.05,182.88225,0.89,356,138,0.345
3,9,20000,0.06,136.84605,0.8625,345,176,0.44
5,3,5000,0.01,17.31532,0.925,370,321,0.8025
5,3,5000,0.02,39.49015,0.945,378,289,0.7225
5,3,5000,0.03,21.713282,0.95,380,309,0.7725
5,3,5000,0.04,21.81686,0.9525,381,307,0.7675
5,3,5000,0.05,22.163527,0.955,382,308,0.77
5,3,5000,0.06,19.815886,0.9525,381,311,0.7775
5,3,10000,0.01,17.31532,0.925,370,321,0.8025
5,3,10000,0.02,39.095245,0.9425,377,289,0.7225
5,3,10000,0.03,20.037228,0.945,378,309,0.7725
